region,avg,beryl_region
GRN,"[array([ 7.3622305 ,  7.22383632,  7.09888315,  7.05785858,  6.96688564,
        6.88196369,  6.91930234,  7.01280994,  6.75620026,  6.88972715,
        6.90688473,  6.79817477,  6.72748039,  6.93377456,  6.74417883,
        6.73266423,  6.81783751,  6.76574693,  6.70264229,  6.68498698,
        6.69763954,  6.81596059,  6.65636933,  6.6201208 ,  6.68213397,
        6.69059467,  6.7527736 ,  7.03628858,  6.68629941,  6.72656345,
        6.76202068,  6.83345854,  6.89103038,  6.72092281,  6.79271668,
        6.97496246,  6.85577036,  7.13757713,  7.00364507,  7.0363304 ,
        6.84349817,  7.10834103,  7.03239329,  7.14114569,  7.09449354,
        7.32544251,  7.10661625,  7.23846318,  7.4313308 ,  7.29511727,
        7.22567711,  8.38769127,  8.6232371 ,  8.40959452,  9.33611847,
       12.4380931 , 15.61058192, 17.8952536 , 20.17077041, 22.18269726,
       24.27409199, 25.94020126, 26.902044  , 27.72309203, 28.21609584,
       29.11914423, 29.13928349, 29.67438965, 29.7863988 , 30.15732677,
       30.03365448, 30.09496339, 29.99255988, 29.94202725, 29.94792557,
       29.43680857, 29.58087628, 29.16045108, 28.63200193, 28.40487533,
       27.93681284, 27.42174407, 27.05033232, 27.21499281, 26.74578148,
       26.22400447, 26.10053321, 26.04337657, 25.64206335, 25.2939661 ,
       24.91667956, 24.65614985, 24.3099073 , 24.02701744, 23.68934702,
       23.42107966, 23.09975476, 22.9189179 , 22.59967651, 22.36883144,
       22.17529611, 21.8877158 , 21.69606882, 21.22658238, 20.92883213,
       20.8080528 , 20.58197892, 20.26576998, 20.00900829, 20.45006889,
       19.79955765, 19.81626196, 19.52136575, 19.27043122, 19.22523565,
       18.67463985, 18.44745043, 18.73990675, 18.54991174, 18.3084898 ,
       18.07563589, 18.057889  , 17.73889856, 17.85801974, 17.4714298 ,
       17.06562182, 17.38246424, 17.27110313, 16.85654507, 16.89515987,
       16.33255834, 16.31296737, 16.26936129, 16.27676469, 16.07009198,
       16.21635048, 15.79615449, 15.71383033, 15.49776024, 15.63652818,
       15.25834117, 15.36966211, 15.3755496 , 14.86054144, 14.98850951,
       14.68579856, 14.71703994, 14.70400323, 14.66319496, 14.62873838]), array([ 5.57466201,  5.60857033,  5.43698278,  5.75300983,  5.59489539,
        5.59393945,  5.3134937 ,  5.73231606,  5.55102145,  5.58892314,
        5.77317092,  5.5149302 ,  5.42550708,  5.24998072,  5.2890289 ,
        5.45723597,  5.43442334,  5.37487675,  5.70313759,  5.33489488,
        5.47528382,  5.53970399,  5.06228877,  5.11513286,  5.22801819,
        5.26888742,  5.14736065,  5.24892633,  5.42322635,  5.45158293,
        4.99332736,  5.48007956,  5.37774052,  5.27853482,  5.489033  ,
        5.20618453,  5.06677689,  5.48448099,  5.36664939,  5.09698621,
        5.18628383,  5.26213115,  5.24712981,  5.19650723,  5.47250725,
        4.9773481 ,  5.23474601,  5.08051508,  5.32803624,  5.13768687,
        5.30733073,  5.56509426,  4.85535226,  5.15405063,  6.48933932,
        7.81278999,  9.26676764, 10.7520008 , 12.41123038, 13.71528235,
       14.53937258, 15.50597511, 16.06093084, 16.06582344, 15.70301593,
       15.47787   , 15.05114615, 14.57906284, 14.49510926, 13.96228484,
       14.41512374, 14.12845398, 13.89260317, 13.84463534, 13.57627666,
       13.1743814 , 13.26036854, 12.45784467, 12.27498499, 11.62821939,
       11.38207411, 11.58171251, 10.95200093, 11.0416575 , 10.96918017,
       11.21930155, 10.97617895, 10.98238517, 11.23129548, 10.35799864,
       10.2428086 , 10.28327659,  9.93384897,  9.88537312,  9.96968216,
       10.38362544, 10.06821035,  9.56468228,  9.42467336,  9.22770775,
        9.4209874 ,  9.20499238,  9.39532764,  8.60316335,  8.57964563,
        9.14350996,  8.68053468,  8.65466832,  8.78588335,  8.6249601 ,
        8.63629714,  8.49754271,  8.46153681,  8.35853835,  8.11517   ,
        8.17517384,  8.20991884,  8.18658016,  8.1214574 ,  8.29800311,
        8.62369024,  8.38828783,  8.20679786,  8.2155141 ,  7.92061484,
        8.14917554,  8.15059748,  8.00998929,  8.17775376,  8.15147353,
        7.81630632,  7.98723366,  7.85752366,  8.01232297,  7.52527006,
        8.04414727,  7.74863842,  7.94158561,  7.93853055,  8.16448623,
        7.9128754 ,  7.63594645,  7.70836379,  7.7414896 ,  7.97872859,
        7.64621555,  7.89770721,  7.65062535,  7.4711045 ,  7.83680997])]",GRN
PGRNd,"[array([ 5.57466201,  5.60857033,  5.43698278,  5.75300983,  5.59489539,
        5.59393945,  5.3134937 ,  5.73231606,  5.55102145,  5.58892314,
        5.77317092,  5.5149302 ,  5.42550708,  5.24998072,  5.2890289 ,
        5.45723597,  5.43442334,  5.37487675,  5.70313759,  5.33489488,
        5.47528382,  5.53970399,  5.06228877,  5.11513286,  5.22801819,
        5.26888742,  5.14736065,  5.24892633,  5.42322635,  5.45158293,
        4.99332736,  5.48007956,  5.37774052,  5.27853482,  5.489033  ,
        5.20618453,  5.06677689,  5.48448099,  5.36664939,  5.09698621,
        5.18628383,  5.26213115,  5.24712981,  5.19650723,  5.47250725,
        4.9773481 ,  5.23474601,  5.08051508,  5.32803624,  5.13768687,
        5.30733073,  5.56509426,  4.85535226,  5.15405063,  6.48933932,
        7.81278999,  9.26676764, 10.7520008 , 12.41123038, 13.71528235,
       14.53937258, 15.50597511, 16.06093084, 16.06582344, 15.70301593,
       15.47787   , 15.05114615, 14.57906284, 14.49510926, 13.96228484,
       14.41512374, 14.12845398, 13.89260317, 13.84463534, 13.57627666,
       13.1743814 , 13.26036854, 12.45784467, 12.27498499, 11.62821939,
       11.38207411, 11.58171251, 10.95200093, 11.0416575 , 10.96918017,
       11.21930155, 10.97617895, 10.98238517, 11.23129548, 10.35799864,
       10.2428086 , 10.28327659,  9.93384897,  9.88537312,  9.96968216,
       10.38362544, 10.06821035,  9.56468228,  9.42467336,  9.22770775,
        9.4209874 ,  9.20499238,  9.39532764,  8.60316335,  8.57964563,
        9.14350996,  8.68053468,  8.65466832,  8.78588335,  8.6249601 ,
        8.63629714,  8.49754271,  8.46153681,  8.35853835,  8.11517   ,
        8.17517384,  8.20991884,  8.18658016,  8.1214574 ,  8.29800311,
        8.62369024,  8.38828783,  8.20679786,  8.2155141 ,  7.92061484,
        8.14917554,  8.15059748,  8.00998929,  8.17775376,  8.15147353,
        7.81630632,  7.98723366,  7.85752366,  8.01232297,  7.52527006,
        8.04414727,  7.74863842,  7.94158561,  7.93853055,  8.16448623,
        7.9128754 ,  7.63594645,  7.70836379,  7.7414896 ,  7.97872859,
        7.64621555,  7.89770721,  7.65062535,  7.4711045 ,  7.83680997])]",PGRN
PRP,"[array([ 4.00146768,  3.22536902,  3.79077655,  3.86577164,  3.81055894,
        3.7932174 ,  3.27731325,  3.04838828,  2.96477769,  4.04041402,
        3.49052178,  3.39104166,  3.52081864,  3.67216645,  3.46919468,
        4.08930755,  4.01295484,  3.69869552,  4.01704289,  3.26209613,
        3.60647326,  3.48596036,  3.7481989 ,  3.87593185,  3.89940548,
        3.41197194,  3.46847759,  3.76740542,  3.76496457,  3.47784417,
        3.9399391 ,  3.84760247,  3.5311579 ,  3.16042691,  3.42475205,
        3.32609954,  3.85492502,  3.33870061,  3.04293072,  4.0774614 ,
        3.35830395,  3.52562379,  3.07370095,  3.65935236,  3.62502737,
        3.31745006,  3.34929547,  3.61282312,  3.29921622,  4.28104776,
        3.53302289, 13.93921679,  3.13070592,  4.70458458,  5.23365379,
        5.9190749 ,  7.25986783,  8.15905762, 10.29572776, 11.92115383,
       13.53808736, 14.16104119, 14.64492472, 13.41434325, 12.83598041,
       10.46903243, 10.24746399,  9.59453686,  8.13017942,  7.26053157,
        6.59492683,  6.60157485,  6.00033636,  5.61941116,  4.95373462,
        4.9623841 ,  4.65570293,  4.6181482 ,  4.5707654 ,  3.36487871,
        4.22369183,  3.62791089,  3.58013127,  3.746521  ,  4.12651132,
        3.92580136,  3.48432028,  3.82539111,  3.9517584 ,  2.97074261,
        3.36347523,  3.1113969 ,  3.45279514,  3.66215933,  3.0877055 ,
        3.22472848,  3.37428786,  3.37410881,  2.93481298,  3.66815494,
        3.05528807,  3.05399895,  3.24645241,  2.55952056,  3.44716237,
        3.24433183,  2.8839401 ,  3.0538199 ,  4.01408062,  3.51422506,
        3.08974953,  3.26081505,  3.25528094,  3.09054317,  3.24734854,
        3.08713348,  3.23905331,  3.22684906,  2.99340049,  2.72483894,
        2.63678129,  2.645572  ,  2.96887763,  3.9515832 ,  3.55909046,
        2.30331545,  3.16578198,  3.26827882,  3.10953192,  2.38519845,
        2.94116284,  3.28913255,  3.01669982,  2.70408771,  3.03177571,
        2.5392427 ,  3.02290845,  2.57384923,  3.16822283,  2.94213553,
        3.7113123 ,  3.13713233,  2.67680372,  3.01156252,  3.48337828,
        3.5847234 ,  2.81164145,  3.69184634,  3.51530024,  3.70253985])]",PRP
chpl,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",chpl
CENT3,"[array([ 7.38588506,  7.2591506 ,  7.39286895,  6.81003917,  6.86961047,
        7.10201899,  6.9967258 ,  6.79247471,  6.92443527,  7.00460595,
        7.29277377,  7.18961096,  7.17842226,  6.92154108,  7.15948288,
        7.13309565,  7.14804672,  7.17829866,  6.94614743,  7.1678129 ,
        6.70829079,  7.09668717,  6.67155334,  6.98116495,  7.07752297,
        6.71896363,  6.83160465,  6.8344687 ,  7.248147  ,  6.75338559,
        6.7107581 ,  6.74728455,  6.80027501,  6.58172847,  6.95883273,
        6.67841646,  6.85713598,  7.1663132 ,  7.20944115,  6.88283382,
        6.84426783,  6.76234834,  7.206647  ,  6.66957582,  6.90278552,
        6.98581565,  6.59051412,  6.65702731,  6.6792915 ,  6.36202296,
        5.43684861,  9.78231329, 12.71561939, 13.06201692, 12.91355258,
       11.00808449, 10.04679452,  9.56850559,  9.51188853, 10.34919527,
       11.22904766, 11.57078568, 11.83827199, 12.50086157, 12.36635051,
       12.41549313, 12.37324434, 12.51091463, 12.35163092, 12.46260118,
       12.60587242, 12.54390947, 12.4226768 , 12.60545569, 12.38497472,
       12.86964097, 13.19050681, 12.95158531, 12.8962938 , 13.01949463,
       12.37787862, 13.21975377, 12.80419548, 13.21521931, 13.43980734,
       13.24235345, 13.47417228, 13.59166066, 13.52846635, 13.4304279 ,
       13.31598149, 14.11098002, 13.97693538, 14.02415368, 14.15142232,
       14.50354056, 14.33655706, 14.56297168, 14.42862684, 14.49870611,
       14.82402062, 14.48998116, 14.48121244, 14.22210986, 14.15257159,
       14.05510832, 14.12405534, 13.84590089, 14.02962345, 14.12445938,
       13.77201034, 14.01263326, 14.16107753, 14.13219695, 13.77690504,
       13.98065931, 13.7146853 , 14.10616916, 13.82565694, 13.85997118,
       13.53509295, 13.32899176, 13.87169265, 13.71751619, 13.27493012,
       13.45664036, 13.46055492, 13.59982906, 13.99437131, 13.85326298,
       13.76392133, 13.45548405, 13.36760091, 13.16314189, 12.79762738,
       12.97584088, 12.55929015, 12.71489069, 12.81901426, 13.04408157,
       12.19046306, 12.91512359, 12.94109923, 12.63855442, 12.83149516,
       12.80995184, 12.41665763, 12.58944062, 12.31669695, 12.07124952])]",CENT3
SPVO,"[array([ 3.10314861,  2.95209183,  2.57798022,  2.98979171,  2.81694844,
        2.68710177,  2.87622329,  2.97449726,  2.65487559,  2.75946331,
        2.95562554,  3.29458135,  3.21133672,  3.42672908,  3.29084304,
        3.12293459,  2.72566288,  2.6233063 ,  2.83763902,  2.88572875,
        2.66416938,  2.87499528,  2.55283795,  2.76984288,  2.83077002,
        2.63534174,  2.49147395,  2.97865068,  2.62830918,  2.91674303,
        3.28753171,  3.00148286,  3.29447551,  2.57713953,  3.30529963,
        2.39437608,  3.04101061,  2.60860898,  2.68237605,  3.06715756,
        3.26817019,  3.23377394,  3.15783685,  3.13802372,  2.58745784,
        2.54163934,  2.84094556,  3.02465583,  2.97892405,  2.81370101,
        2.77943387,  3.08817342,  3.31083209,  3.26818799,  3.94072824,
        4.67446708,  6.6691162 ,  6.79281839,  7.87997462,  7.51952379,
        8.04214974,  7.40138362,  8.26751239,  8.16359907,  8.77932041,
        7.96962546,  7.78732602,  8.2070325 ,  8.97769843,  9.40447137,
        8.74796178,  8.466367  ,  8.47096779,  8.27883688,  8.08486538,
        8.0397896 ,  7.05296701,  7.8635463 ,  7.92212406,  8.57018844,
        9.53595848,  9.15529562,  8.93481843, 10.56023302, 10.59752586,
        9.6512952 ,  9.64184819,  8.84311545,  9.13180586,  8.33917987,
        7.84054669,  8.41606669,  9.47179093,  8.396696  ,  8.20794822,
        8.2705367 ,  9.15601676,  8.65006849,  8.70819846,  7.9458779 ,
        8.47193732,  8.12169645,  7.92826803,  8.43819745,  8.29584597,
        9.00170081,  7.77782721,  8.28537918,  9.17971513,  8.29195933,
        7.96207776,  7.29615755,  7.73267102,  7.9856542 ,  7.78655116,
        8.1574903 ,  8.50284936,  8.3921724 ,  8.00187533,  7.95585701,
        8.88638106,  7.80221384,  7.92836706,  7.96785213,  7.2792402 ,
        7.72670411,  8.0286645 ,  8.08432291,  7.54608086,  7.67393081,
        8.14561223,  7.77291003,  7.57534584,  7.3537186 ,  7.27552208,
        7.82072456,  7.32924696,  7.45526178,  7.02216225,  8.20073145,
        6.53416952,  7.56571867,  7.31918284,  7.86621607,  7.84673407,
        7.86143451,  8.63339724,  7.79166147,  7.62275867,  7.09359499])]",SPVO
sptV,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",sptV
MY,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",MY
icp,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",icp
DCO,"[array([15.71839785, 16.04784131, 15.86389953, 15.95647558, 15.60015882,
       16.34211278, 16.27868294, 16.03092444, 16.00524726, 16.04882267,
       15.49149482, 15.87002107, 17.07146704, 16.29023121, 16.02631936,
       16.13800906, 15.6540596 , 16.30627118, 16.58550218, 16.58292586,
       16.08993406, 16.35778707, 15.94898216, 15.98433946, 16.30027911,
       15.84902098, 15.91796545, 16.41163333, 16.10298369, 16.44700481,
       15.99845992, 16.56816947, 16.19299425, 15.72094315, 16.58040605,
       16.01091502, 15.90214092, 16.25184755, 16.05428023, 15.92914315,
       16.23336134, 16.50787574, 16.1195295 , 16.15513858, 15.87815718,
       16.15083584, 16.4499169 , 16.1031283 , 16.46095683, 16.31081037,
       19.21589062, 28.66446722, 23.95811588, 24.59991197, 24.80362022,
       24.33870503, 24.2061339 , 25.40560036, 25.82612318, 25.70969645,
       18.42823037, 20.11367114, 20.85336713, 21.58537776, 21.52646046,
       21.6860579 , 20.92089178, 20.77765243, 20.26018009, 20.7113869 ,
       19.29231964, 19.6309325 , 19.72812686, 18.1736033 , 18.73445799,
       17.95713801, 18.7838305 , 17.32544135, 17.90576257, 17.55034224,
       18.03764922, 17.71139433, 17.7213866 , 17.52092515, 17.20732656,
       16.99761141, 16.53173634, 17.5676779 , 16.68847666, 16.83637368,
       17.1019592 , 17.7588952 , 16.67649709, 17.36536636, 17.2936234 ,
       17.04112134, 16.40490908, 16.87648162, 16.36269271, 16.11009938,
       15.91147978, 16.49796282, 16.17782828, 16.28929887, 16.14940095,
       15.99417347, 16.13336159, 16.57361361, 16.59697921, 16.0683932 ,
       16.00963884, 16.59238496, 16.14311316, 15.26296269, 15.7472142 ,
       16.02440744, 16.20785031, 16.03677511, 16.06408439, 16.09018312,
       16.05687373, 15.88312463, 16.14496488, 16.23388208, 15.8674094 ,
       16.11512912, 15.61980648, 15.90903088, 15.90476618, 16.26882351,
       16.27121327, 16.00801139, 15.96671393, 15.91418412, 16.04563705,
       16.1206418 , 16.79027329, 15.85484804, 16.07504575, 15.99562248,
       15.43600688, 16.16386624, 16.12388663, 15.4820303 , 15.67577035,
       16.26592576, 16.38897497, 15.77151384, 15.99626318, 16.09925052])]",DCO
IP,"[array([12.2793412 , 12.33208469, 12.33045519, 12.07577633, 12.35936484,
       12.24964479, 12.36508553, 11.90987644, 12.14838802, 12.1699416 ,
       12.20234253, 12.1995133 , 11.91427843, 11.9540294 , 11.97825544,
       11.93011359, 11.97998525, 12.04587887, 12.13941385, 11.95542967,
       11.82268839, 11.9287027 , 11.86720247, 11.83800122, 11.75188025,
       12.08814022, 11.68491275, 11.57687328, 11.71261908, 11.56815705,
       11.40179623, 11.56823786, 11.49374734, 11.37948239, 11.29839991,
       11.64355553, 11.32778656, 11.45875547, 11.52894159, 11.54907059,
       11.66603654, 11.404419  , 11.34456521, 11.39304378, 11.21136405,
       11.10700487, 11.2188244 , 11.37865001, 11.04636881, 11.19019751,
       11.10171807, 11.18566432, 10.90366366,  8.6470981 ,  8.24516751,
        9.69921885, 10.87665249, 11.77362991, 13.45902579, 13.85437704,
       13.72939893, 14.3402425 , 13.63245755, 13.60059895, 13.40502348,
       12.93841632, 12.64126475, 12.11959649, 11.75714633, 11.27399235,
       11.03638589, 11.0921252 , 10.65786497, 10.98525276, 10.80773019,
       10.76188786, 10.88337437, 10.69739736, 10.56186511, 10.85057546,
       10.6901072 , 10.57874223, 10.43733853, 10.49344459, 10.20584701,
       10.40380028, 10.39929625, 10.14048161, 10.12864654, 10.16427144,
        9.88045895, 10.13209092, 10.18456642, 10.30246876, 10.34868719,
       10.52657308, 10.86118847, 10.39018764, 10.40897647, 10.30325141,
       10.24554359, 10.23213377, 10.39447436, 10.33950806, 10.55451659,
       10.4432864 , 10.84074818, 10.59305167, 11.03691222, 10.96310495,
       10.617651  , 10.97081921, 11.20929172, 10.9698214 , 11.0634759 ,
       11.15295608, 10.63410172, 11.17553918, 11.2573301 , 11.27348192,
       11.4417332 , 11.23879115, 11.49067306, 11.47878686, 11.42969459,
       11.48010005, 11.4637544 , 11.53943292, 11.2171174 , 11.63399302,
       11.60616683, 11.65462196, 11.41052358, 11.51566213, 11.93768758,
       12.06416213, 11.73495534, 11.87134434, 11.87864116, 12.03415375,
       11.71626242, 11.92829861, 11.65981372, 11.89309444, 11.83218238,
       11.63339046, 11.70985764, 11.78045902, 12.14290974, 12.09079926]), array([nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan])]",IP
